4,-20,1
3,-24,16
19,-26,1
23,-28,2
25,-50,1
8,-56,23
19,14,-29
43,-54,3
1,-98,1
47,24,-48
4,-100,25
32,48,-57
67,-102,3
19,-104,16
75,0,-32
16,-104,19
1,-99,1
29,-103,7
43,-123,31
7,-103,29
13,-16,1
10,-18,3
1,-100,1
13,-112,49
30,-114,25
51,0,-49
49,28,-47
13,86,-50
34,-102,3
62,-18,-39
75,-36,-29
17,68,-79
10,-106,31
5,-104,41
23,-35,1
1,-101,1
59,-7,-43
97,-117,9
59,7,-43
10,-12,1
5,-12,2
17,-22,1
13,0,-8
26,-52,1
17,-64,22
13,26,-37
34,4,-19
1,-102,1
88,-48,-23
79,-108,4
25,60,-68
67,-112,8
19,-106,11
13,78,-83
59,4,-44
1,-103,1
29,-109,11
21,63,-79
11,-109,29
15,-105,7
13,-111,33
35,35,-67
33,-111,13
1,-104,1
21,-114,26
13,-114,42
53,-106,2
42,-114,13
21,72,-67
71,-108,3
46,-110,7
14,-110,23
91,-114,6
23,-110,14
7,-110,46
